sku,wine,distributor,on_hand_bottles,counted_by
FL-101,Sancerre 2024,Fall Line,10,Owen
FL-102,"House Malbec, Mendoza 2023",Fall Line,152,Owen
FL-103,"Dry Rosé, Provence 2025",Fall Line,53,Owen
FL-104,Champagne Brut NV,Fall Line,7,Owen
FL-105,"Pinot Noir, Willamette 2023",Fall Line,37,Owen
FL-106,"Sauvignon Blanc, Marlborough 2025",Fall Line,29,Owen
FL-107,Rioja Crianza 2021,Fall Line,40,Owen
FL-108,"Chardonnay, Sonoma 2023",Fall Line,40,Owen
FL-109,Côtes du Rhône 2023,Fall Line,25,Owen
FL-110,"Albariño, Rías Baixas 2024",Fall Line,43,Owen
FL-111,"Cabernet Sauvignon, Paso Robles 2022",Fall Line,32,Owen
FL-112,Grüner Veltliner 2024,Fall Line,28,Owen
FL-113,Barbera d'Asti 2023,Fall Line,8,Owen
FL-114,Crémant de Loire NV,Fall Line,25,Owen
FL-115,"Zinfandel, Lodi 2022",Fall Line,27,Owen
FL-116,Muscadet 2024,Fall Line,26,Owen
TW-201,Prosecco NV,Tidewater,20,Owen
TW-202,Vinho Verde 2025,Tidewater,93,Owen
TW-203,Chianti Classico 2022,Tidewater,20,Owen
TW-204,Montepulciano d'Abruzzo 2023,Tidewater,107,Owen
TW-205,"Pinot Grigio, Alto Adige 2024",Tidewater,17,Owen
TW-206,Nero d'Avola 2023,Tidewater,37,Owen
TW-207,"Garnacha, Calatayud 2023",Tidewater,47,Owen
TW-208,"Verdejo, Rueda 2024",Tidewater,37,Owen
TW-209,Douro Red 2022,Tidewater,22,Owen
TW-210,Lambrusco NV,Tidewater,24,Owen
TW-211,"Primitivo, Puglia 2023",Tidewater,15,Owen
TW-212,Txakoli 2024,Tidewater,18,Owen
