sku,wine,case_size,case_price,break_cases,price_at_break
FL-101,Sancerre 2024,12,264.00,,
FL-102,"House Malbec, Mendoza 2023",12,132.00,10,120.00
FL-103,"Dry Rosé, Provence 2025",12,156.00,,
FL-104,Champagne Brut NV,6,252.00,,
FL-105,"Pinot Noir, Willamette 2023",12,312.00,,
FL-106,"Sauvignon Blanc, Marlborough 2025",12,144.00,,
FL-107,Rioja Crianza 2021,12,168.00,,
FL-108,"Chardonnay, Sonoma 2023",12,216.00,,
FL-109,Côtes du Rhône 2023,12,138.00,5,132.00
FL-110,"Albariño, Rías Baixas 2024",12,180.00,,
FL-111,"Cabernet Sauvignon, Paso Robles 2022",12,240.00,,
FL-112,Grüner Veltliner 2024,12,156.00,,
FL-113,Barbera d'Asti 2023,12,162.00,,
FL-114,Crémant de Loire NV,12,204.00,,
FL-115,"Zinfandel, Lodi 2022",12,174.00,,
FL-116,Muscadet 2024,12,126.00,,
