date,job,material,thickness,sheets,issued_by,note
2026-09-02,PEN-05,Maple ply,3/4,3,Tomas Reyes,carcass sides
2026-09-03,KEL-07,Walnut ply,1/4,1,Tomas Reyes,apron backer
2026-09-09,K-104,MDF,1/4,3,Tomas Reyes,"vanity backs and drawer bottoms, per estimate"
2026-09-11,K-104,MDF,1/4,2,Tomas Reyes,remake after the sink opening was measured again
2026-09-12,K-104,MDF,1/4,-1,Tomas Reyes,returned one sheet whole
2026-09-16,KEL-07,Walnut ply,3/4,4,Tomas Reyes,table top core and leaves
2026-09-16,PEN-05,White oak ply,3/4,3,Tomas Reyes,bookcase sides
2026-09-17,PEN-05,Maple ply,3/4,4,Tomas Reyes,shelves
2026-09-17,PEN-05,White oak ply,3/4,2,Tomas Reyes,face frames
2026-09-18,MAR-11,Maple ply,1/2,1,Ray Dunleavy,drawer box remake for punch item 3
