item,description,owner,status,signed_off_by
MAR-14-01,Shower glass clip loose,Glass installer,done,Jo Park
MAR-14-02,Vanity light not level,Delta Electric,done,Jo Park
MAR-14-03,Exhaust fan grille missing,Delta Electric,open,
MAR-14-04,Grout touch-up at the niche,,open,
MAR-14-05,Towel bar anchors loose,Brandt & Rowe,done,
MAR-14-06,Baseboard gap behind the door,Brandt & Rowe,open,
MAR-14-07,Door stop missing,Brandt & Rowe,done,Jo Park
MAR-14-08,Paint scuff at the linen closet,Brandt & Rowe,open,
MAR-14-09,Toilet supply escutcheon loose,Tolliver Plumbing,done,
MAR-14-10,Mirror not centred on the vanity,Brandt & Rowe,open,
MAR-14-11,Threshold caulk,Brandt & Rowe,done,Jo Park
